name,opponent,n,mean,median,min,max,stdev
carrot_gatehours_4,starter,8,4196.1,4185.5,4114.0,4292.0,72.3
carrot_hoard,random,8,3320.6,3328.0,3254.0,3377.0,34.6
carrot_hoard,starter,8,3313.5,3332.0,3196.0,3345.0,48.6
combo_dump_x_dump,random,8,4189.4,4215.0,3977.0,4293.0,95.1
combo_dump_x_dump,starter,8,4147.8,4135.0,4053.0,4240.0,63.3
combo_dump_x_threshold10,random,8,4210.0,4230.5,4090.0,4308.0,73.7
combo_dump_x_threshold10,starter,8,4155.4,4123.0,4068.0,4310.0,90.9
combo_dump_x_pricegate25,random,8,4144.5,4145.5,4070.0,4239.0,55.1
combo_dump_x_pricegate25,starter,8,4150.6,4159.5,4003.0,4276.0,96.1
combo_dump_x_pricegate30,random,8,4173.4,4154.0,4084.0,4251.0,59.0
combo_dump_x_pricegate30,starter,8,4130.6,4116.0,4061.0,4270.0,69.2
combo_dump_x_capped5,random,8,4170.4,4162.0,4088.0,4228.0,44.7
combo_dump_x_capped5,starter,8,4176.0,4166.0,4064.0,4297.0,86.6
combo_dump_x_dayspread4,random,8,3892.4,3902.0,3809.0,3956.0,60.2
combo_dump_x_dayspread4,starter,8,3880.0,3881.5,3822.0,3951.0,47.2
combo_dump_x_shopscaled_3_1,random,8,4183.0,4178.0,4088.0,4296.0,76.3
combo_dump_x_shopscaled_3_1,starter,8,4099.9,4104.0,4007.0,4226.0,76.7
combo_dump_x_threshprice_10_25,random,8,4199.2,4200.0,4090.0,4300.0,68.4
combo_dump_x_threshprice_10_25,starter,8,4168.1,4164.0,4040.0,4306.0,97.9
combo_threshold20_x_dump,random,8,4231.0,4208.0,4185.0,4308.0,52.5
combo_threshold20_x_dump,starter,8,4201.4,4185.0,4131.0,4315.0,64.9
combo_threshold20_x_threshold10,random,8,4213.0,4214.0,4155.0,4321.0,56.4
combo_threshold20_x_threshold10,starter,8,4244.5,4225.0,4158.0,4345.0,69.4
combo_threshold20_x_pricegate25,random,8,4241.8,4250.5,4088.0,4362.0,93.5
combo_threshold20_x_pricegate25,starter,8,4238.9,4215.5,4046.0,4365.0,115.2
combo_threshold20_x_pricegate30,random,8,4256.4,4248.5,4154.0,4387.0,68.4
combo_threshold20_x_pricegate30,starter,8,4213.6,4203.0,4117.0,4386.0,86.3
combo_threshold20_x_capped5,random,8,4243.5,4225.5,4158.0,4354.0,69.4
combo_threshold20_x_capped5,starter,8,4164.2,4143.0,4049.0,4354.0,122.2
combo_threshold20_x_dayspread4,random,8,3951.8,3952.5,3852.0,4028.0,56.6
combo_threshold20_x_dayspread4,starter,8,3925.5,3923.5,3836.0,4026.0,56.5
combo_threshold20_x_shopscaled_3_1,random,8,4259.2,4242.5,4162.0,4367.0,77.0
combo_threshold20_x_shopscaled_3_1,starter,8,4156.4,4139.5,4115.0,4212.0,36.2
combo_threshold20_x_threshprice_10_25,random,8,4238.4,4267.0,4075.0,4369.0,97.1
combo_threshold20_x_threshprice_10_25,starter,8,4223.9,4215.0,4083.0,4356.0,92.3
combo_capped15_x_dump,random,8,4190.2,4203.5,4124.0,4226.0,42.3
combo_capped15_x_dump,starter,8,4159.6,4168.0,4045.0,4267.0,75.2
combo_capped15_x_threshold10,random,8,4140.6,4150.5,4032.0,4232.0,64.1
combo_capped15_x_threshold10,starter,8,4127.9,4142.0,4010.0,4224.0,72.9
combo_capped15_x_pricegate25,random,8,4198.2,4199.5,4124.0,4255.0,46.7
combo_capped15_x_pricegate25,starter,8,4138.9,4120.0,4056.0,4295.0,72.4
combo_capped15_x_pricegate30,random,8,4187.0,4199.0,4118.0,4241.0,48.3
combo_capped15_x_pricegate30,starter,8,4177.9,4172.0,4061.0,4284.0,76.1
combo_capped15_x_capped5,random,8,4192.9,4191.5,4139.0,4241.0,41.5
combo_capped15_x_capped5,starter,8,4178.6,4191.0,4006.0,4282.0,95.0
combo_capped15_x_dayspread4,random,8,3856.0,3869.5,3765.0,3952.0,69.3
combo_capped15_x_dayspread4,starter,8,3811.2,3818.5,3729.0,3887.0,60.7
